t,gt_x,gt_y,ov_x,ov_y,ego_x,ego_y
7.596,3.4849,1.4644,-3.4178,-1.4717,5.2598,1.5763
7.618,3.4977,1.4771,-3.4284,-1.4822,5.2711,1.5875
7.638,3.5033,1.4827,-3.4320,-1.4857,5.2711,1.5875
7.660,3.5090,1.4883,-3.4426,-1.4966,5.2832,1.5995
7.682,3.5153,1.4946,-3.4497,-1.5036,5.2832,1.5995
7.702,3.5216,1.5010,-3.4567,-1.5106,5.2951,1.6119
7.724,3.5342,1.5136,-3.4638,-1.5176,5.3063,1.6231
7.746,3.5405,1.5199,-3.4708,-1.5245,5.3063,1.6231
7.766,3.5468,1.5262,-3.4781,-1.5309,5.3182,1.6351
7.788,3.5530,1.5326,-3.4886,-1.5414,5.3304,1.6464
7.810,3.5592,1.5389,-3.4956,-1.5484,5.3304,1.6464
7.830,3.5717,1.5515,-3.5026,-1.5553,5.3415,1.6576
7.852,3.5772,1.5571,-3.5096,-1.5623,5.3533,1.6695
7.874,3.5834,1.5634,-3.5170,-1.5685,5.3533,1.6695
7.894,3.5896,1.5697,-3.5240,-1.5754,5.3656,1.6806
7.916,3.5958,1.5761,-3.5310,-1.5824,5.3656,1.6806
7.938,3.6073,1.5882,-3.5378,-1.5895,5.3767,1.6919
7.958,3.6126,1.5939,-3.5447,-1.5966,5.3882,1.7040
7.980,3.6180,1.5997,-3.5553,-1.6061,5.3882,1.7040
8.002,3.6285,1.6113,-3.5620,-1.6132,5.4002,1.7149
8.024,3.6343,1.6179,-3.5687,-1.6204,5.4109,1.7264
8.044,3.6395,1.6238,-3.5753,-1.6277,5.4109,1.7264
8.066,3.6499,1.6356,-3.5803,-1.6362,5.4220,1.7389
8.088,3.6550,1.6416,-3.5869,-1.6436,5.4315,1.7526
8.108,3.6601,1.6476,-3.5934,-1.6510,5.4315,1.7526
8.130,3.6709,1.6603,-3.6031,-1.6621,5.4419,1.7645
8.152,3.6760,1.6664,-3.6096,-1.6695,5.4529,1.7772
8.172,3.6817,1.6732,-3.6182,-1.6777,5.4529,1.7772
8.194,3.6873,1.6800,-3.6247,-1.6852,5.4660,1.7907
8.216,3.6930,1.6869,-3.6311,-1.6927,5.4660,1.7907
8.236,3.7042,1.7006,-3.6376,-1.7003,5.4763,1.8028
