t,gt_x,gt_y,ov_x,ov_y,ego_x,ego_y
3.507,2.1864,0.0402,0.0491,-2.2063,1.8564,0.0478
3.528,2.1948,0.0412,0.0508,-2.2199,1.8714,0.0496
3.549,2.2031,0.0423,0.0528,-2.2298,1.8714,0.0496
3.570,2.2114,0.0433,0.0540,-2.2393,1.8882,0.0522
3.591,2.2279,0.0454,0.0551,-2.2474,1.8882,0.0522
3.612,2.2362,0.0465,0.0564,-2.2569,1.9032,0.0540
3.633,2.2445,0.0476,0.0577,-2.2664,1.9181,0.0559
3.654,2.2527,0.0487,0.0588,-2.2745,1.9181,0.0559
3.675,2.2610,0.0499,0.0609,-2.2842,1.9331,0.0584
3.696,2.2692,0.0512,0.0625,-2.2936,1.9480,0.0606
3.717,2.2858,0.0539,0.0639,-2.3018,1.9480,0.0606
3.738,2.2941,0.0554,0.0664,-2.3153,1.9630,0.0631
3.759,2.3024,0.0569,0.0687,-2.3254,1.9630,0.0631
3.780,2.3106,0.0585,0.0707,-2.3350,1.9785,0.0663
3.801,2.3189,0.0601,0.0724,-2.3433,1.9937,0.0693
3.822,2.3272,0.0617,0.0744,-2.3531,1.9937,0.0693
3.843,2.3437,0.0648,0.0763,-2.3629,2.0091,0.0722
3.864,2.3519,0.0663,0.0784,-2.3725,2.0272,0.0758
3.885,2.3601,0.0677,0.0803,-2.3822,2.0272,0.0758
3.906,2.3682,0.0692,0.0822,-2.3920,2.0426,0.0787
3.927,2.3764,0.0707,0.0838,-2.4003,2.0426,0.0787
3.948,2.3846,0.0721,0.0865,-2.4142,2.0580,0.0814
3.969,2.4009,0.0749,0.0884,-2.4242,2.0734,0.0842
3.990,2.4090,0.0764,0.0903,-2.4339,2.0734,0.0842
4.011,2.4172,0.0778,0.0919,-2.4423,2.0888,0.0870
4.032,2.4254,0.0793,0.0938,-2.4520,2.1041,0.0898
4.053,2.4335,0.0808,0.0958,-2.4618,2.1041,0.0898
4.074,2.4417,0.0824,0.0965,-2.4702,2.1196,0.0917
4.095,2.4580,0.0855,0.0986,-2.4800,2.1350,0.0947
4.116,2.4661,0.0871,0.1006,-2.4898,2.1350,0.0947
4.137,2.4743,0.0888,0.1024,-2.4982,2.1504,0.0977
4.158,2.4824,0.0904,0.1050,-2.5151,2.1504,0.0977
4.179,2.4906,0.0921,0.1072,-2.5249,2.1704,0.1007
4.200,2.4987,0.0939,0.1094,-2.5348,2.1860,0.1039
4.221,2.5150,0.0975,0.1115,-2.5433,2.1860,0.1039
4.242,2.5231,0.0994,0.1139,-2.5532,2.2016,0.1074
4.263,2.5312,0.1014,0.1164,-2.5617,2.2160,0.1113
4.284,2.5394,0.1034,0.1186,-2.5701,2.2160,0.1113
4.305,2.5475,0.1054,0.1212,-2.5800,2.2315,0.1151
4.326,2.5556,0.1075,0.1239,-2.5898,2.2315,0.1151
4.347,2.5719,0.1118,0.1262,-2.5983,2.2470,0.1191
4.368,2.5800,0.1139,0.1295,-2.6131,2.2633,0.1226
4.389,2.5881,0.1162,0.1323,-2.6229,2.2633,0.1226
4.410,2.5961,0.1184,0.1352,-2.6328,2.2789,0.1268
