t,gt_x,gt_y,ov_x,ov_y,ego_x,ego_y
5.876,2.8562,0.8494,-2.8798,-0.8412,5.0903,0.8688
5.896,2.8712,0.8590,-2.8878,-0.8463,5.0903,0.8688
5.918,2.8787,0.8638,-2.8957,-0.8513,5.1031,0.8768
5.940,2.8862,0.8686,-2.9036,-0.8564,5.1166,0.8852
5.960,2.8937,0.8734,-2.9172,-0.8635,5.1166,0.8852
5.982,2.9012,0.8783,-2.9253,-0.8687,5.1361,0.8958
6.004,2.9162,0.8880,-2.9334,-0.8738,5.1361,0.8958
6.024,2.9237,0.8928,-2.9455,-0.8816,5.1491,0.9040
6.046,2.9312,0.8977,-2.9588,-0.8907,5.1626,0.9126
6.068,2.9387,0.9026,-2.9669,-0.8960,5.1626,0.9126
6.088,2.9461,0.9074,-2.9751,-0.9013,5.1820,0.9255
6.110,2.9535,0.9123,-2.9832,-0.9067,5.1951,0.9339
6.132,2.9684,0.9222,-2.9913,-0.9121,5.1951,0.9339
6.152,2.9758,0.9271,-2.9973,-0.9175,5.2088,0.9428
6.174,2.9832,0.9320,-3.0093,-0.9257,5.2204,0.9520
6.196,2.9906,0.9370,-3.0173,-0.9312,5.2204,0.9520
6.216,2.9980,0.9420,-3.0253,-0.9367,5.2332,0.9606
6.238,3.0127,0.9520,-3.0332,-0.9422,5.2332,0.9606
6.260,3.0200,0.9571,-3.0408,-0.9465,5.2469,0.9699
6.280,3.0274,0.9621,-3.0487,-0.9520,5.2600,0.9779
6.302,3.0347,0.9672,-3.0566,-0.9575,5.2600,0.9779
6.324,3.0420,0.9723,-3.0683,-0.9659,5.2727,0.9867
6.344,3.0492,0.9774,-3.0727,-0.9713,5.2861,0.9961
6.366,3.0638,0.9876,-3.0804,-0.9769,5.2861,0.9961
6.388,3.0710,0.9928,-3.0880,-0.9825,5.2958,1.0053
6.408,3.0782,0.9980,-3.0957,-0.9882,5.3082,1.0142
6.430,3.0855,1.0032,-3.1033,-0.9939,5.3082,1.0142
6.452,3.0927,1.0084,-3.1078,-0.9987,5.3213,1.0238
6.474,3.1072,1.0188,-3.1191,-1.0072,5.3310,1.0324
6.494,3.1144,1.0241,-3.1266,-1.0130,5.3310,1.0324
6.516,3.1216,1.0293,-3.1342,-1.0187,5.3431,1.0415
6.538,3.1289,1.0346,-3.1417,-1.0245,5.3561,1.0512
6.558,3.1361,1.0399,-3.1470,-1.0293,5.3561,1.0512
6.580,3.1505,1.0505,-3.1544,-1.0351,5.3666,1.0599
6.602,3.1577,1.0559,-3.1617,-1.0408,5.3666,1.0599
6.622,3.1649,1.0612,-3.1691,-1.0466,5.3785,1.0690
6.644,3.1721,1.0666,-3.1819,-1.0577,5.3911,1.0789
6.666,3.1792,1.0720,-3.1892,-1.0636,5.3911,1.0789
6.686,3.1864,1.0774,-3.1965,-1.0695,5.4055,1.0911
6.708,3.2006,1.0882,-3.2037,-1.0754,5.4172,1.1005
6.730,3.2077,1.0937,-3.2109,-1.0813,5.4172,1.1005
6.750,3.2147,1.0991,-3.2187,-1.0887,5.4295,1.1103
6.772,3.2218,1.1045,-3.2259,-1.0946,5.4424,1.1218
6.794,3.2288,1.1100,-3.2365,-1.1036,5.4424,1.1218
6.814,3.2428,1.1209,-3.2435,-1.1095,5.4538,1.1312
6.836,3.2498,1.1264,-3.2505,-1.1155,5.4538,1.1312
6.858,3.2568,1.1319,-3.2582,-1.1214,5.4658,1.1413
6.878,3.2637,1.1374,-3.2651,-1.1274,5.4784,1.1512
6.900,3.2707,1.1430,-3.2720,-1.1334,5.4784,1.1512
6.922,3.2845,1.1542,-3.2789,-1.1395,5.4896,1.1607
6.942,3.2914,1.1598,-3.2858,-1.1456,5.5013,1.1710
6.964,3.2983,1.1655,-3.2973,-1.1539,5.5013,1.1710
6.986,3.3052,1.1712,-3.3042,-1.1600,5.5143,1.1804
7.006,3.3120,1.1769,-3.3112,-1.1662,5.5255,1.1901
7.028,3.3189,1.1826,-3.3181,-1.1724,5.5255,1.1901
7.050,3.3325,1.1941,-3.3264,-1.1787,5.5373,1.2006
7.070,3.3394,1.1999,-3.3334,-1.1848,5.5373,1.2006
7.092,3.3462,1.2056,-3.3402,-1.1910,5.5507,1.2110
7.114,3.3530,1.2114,-3.3505,-1.2003,5.5618,1.2208
7.134,3.3598,1.2172,-3.3573,-1.2065,5.5618,1.2208
7.156,3.3732,1.2288,-3.3684,-1.2142,5.5734,1.2313
7.178,3.3799,1.2347,-3.3752,-1.2205,5.5894,1.2433
7.198,3.3865,1.2406,-3.3819,-1.2268,5.5894,1.2433
7.220,3.3932,1.2466,-3.3886,-1.2332,5.6003,1.2533
7.242,3.3997,1.2525,-3.3953,-1.2396,5.6116,1.2641
7.262,3.4063,1.2585,-3.4034,-1.2454,5.6116,1.2641
7.284,3.4194,1.2706,-3.4133,-1.2550,5.6245,1.2742
7.306,3.4259,1.2766,-3.4200,-1.2615,5.6352,1.2844
7.326,3.4324,1.2827,-3.4265,-1.2679,5.6352,1.2844
7.348,3.4389,1.2887,-3.4368,-1.2742,5.6464,1.2953
7.370,3.4454,1.2948,-3.4435,-1.2807,5.6464,1.2953
7.390,3.4582,1.3071,-3.4501,-1.2872,5.6616,1.3060
7.412,3.4647,1.3132,-3.4567,-1.2937,5.6722,1.3163
7.434,3.4711,1.3194,-3.4665,-1.3034,5.6722,1.3163
7.454,3.4775,1.3256,-3.4743,-1.3098,5.6833,1.3273
7.476,3.4839,1.3318,-3.4808,-1.3163,5.6959,1.3381
7.498,3.4966,1.3444,-3.4873,-1.3229,5.6959,1.3381
7.518,3.5030,1.3507,-3.4939,-1.3295,5.7064,1.3486
7.540,3.5093,1.3570,-3.5003,-1.3361,5.7175,1.3597
7.562,3.5157,1.3633,-3.5085,-1.3430,5.7175,1.3597
7.582,3.5220,1.3696,-3.5150,-1.3496,5.7303,1.3711
7.604,3.5283,1.3759,-3.5247,-1.3596,5.7408,1.3816
7.626,3.5410,1.3886,-3.5312,-1.3662,5.7408,1.3816
7.646,3.5473,1.3950,-3.5389,-1.3725,5.7519,1.3928
7.668,3.5537,1.4013,-3.5454,-1.3791,5.7519,1.3928
7.690,3.5600,1.4077,-3.5518,-1.3857,5.7642,1.4036
7.710,3.5663,1.4141,-3.5583,-1.3923,5.7746,1.4141
7.732,3.5789,1.4269,-3.5647,-1.3989,5.7746,1.4141
