t,gt_x,gt_y,ov_x,ov_y,ego_x,ego_y
4.784,2.3865,0.5695,-2.3582,-0.5824,6.5623,0.9115
4.806,2.3942,0.5737,-2.3673,-0.5873,6.5747,0.9195
4.828,2.4096,0.5823,-2.3765,-0.5922,6.5747,0.9195
4.848,2.4173,0.5866,-2.3856,-0.5972,6.5893,0.9273
4.870,2.4250,0.5909,-2.3948,-0.6021,6.6049,0.9358
4.892,2.4327,0.5953,-2.4042,-0.6090,6.6049,0.9358
4.912,2.4403,0.5996,-2.4133,-0.6140,6.6161,0.9436
4.934,2.4556,0.6084,-2.4224,-0.6190,6.6306,0.9517
4.956,2.4633,0.6128,-2.4314,-0.6241,6.6306,0.9517
4.976,2.4709,0.6172,-2.4360,-0.6278,6.6462,0.9603
4.998,2.4786,0.6216,-2.4450,-0.6328,6.6462,0.9603
5.020,2.4862,0.6260,-2.4540,-0.6379,6.6568,0.9674
5.040,2.4939,0.6304,-2.4630,-0.6429,6.6712,0.9755
5.062,2.5091,0.6394,-2.4766,-0.6506,6.6712,0.9755
5.084,2.5167,0.6438,-2.4797,-0.6561,6.6868,0.9843
5.104,2.5243,0.6483,-2.4886,-0.6613,6.6959,0.9934
5.126,2.5319,0.6529,-2.4974,-0.6665,6.6959,0.9934
5.148,2.5395,0.6574,-2.5063,-0.6718,6.7101,1.0017
5.168,2.5546,0.6665,-2.5152,-0.6770,6.7254,1.0107
5.190,2.5622,0.6711,-2.5207,-0.6808,6.7254,1.0107
5.212,2.5697,0.6757,-2.5339,-0.6887,6.7369,1.0180
5.232,2.5772,0.6803,-2.5427,-0.6940,6.7510,1.0265
5.254,2.5848,0.6850,-2.5515,-0.6993,6.7510,1.0265
5.276,2.5998,0.6942,-2.5541,-0.7022,6.7661,1.0356
5.296,2.6073,0.6989,-2.5627,-0.7075,6.7661,1.0356
5.318,2.6148,0.7036,-2.5714,-0.7129,6.7745,1.0422
5.340,2.6224,0.7082,-2.5801,-0.7182,6.7884,1.0507
5.360,2.6299,0.7129,-2.5888,-0.7236,6.7884,1.0507
5.382,2.6374,0.7176,-2.5998,-0.7290,6.8034,1.0599
5.404,2.6524,0.7271,-2.6085,-0.7343,6.8160,1.0663
5.424,2.6599,0.7318,-2.6171,-0.7397,6.8160,1.0663
5.446,2.6673,0.7366,-2.6258,-0.7451,6.8299,1.0748
5.468,2.6748,0.7414,-2.6345,-0.7505,6.8447,1.0841
5.488,2.6823,0.7462,-2.6388,-0.7542,6.8447,1.0841
5.510,2.6972,0.7558,-2.6474,-0.7596,6.8549,1.0915
5.532,2.7047,0.7606,-2.6603,-0.7677,6.8687,1.1001
5.552,2.7122,0.7654,-2.6689,-0.7731,6.8687,1.1001
5.574,2.7196,0.7702,-2.6738,-0.7777,6.8835,1.1094
5.596,2.7263,0.7744,-2.6823,-0.7830,6.8835,1.1094
5.616,2.7413,0.7840,-2.6909,-0.7884,6.8942,1.1176
5.638,2.7488,0.7888,-2.6994,-0.7937,6.9079,1.1262
5.660,2.7563,0.7936,-2.7080,-0.7991,6.9079,1.1262
5.680,2.7638,0.7983,-2.7130,-0.8053,6.9226,1.1353
5.702,2.7714,0.8031,-2.7257,-0.8134,6.9333,1.1453
5.724,2.7864,0.8126,-2.7341,-0.8187,6.9333,1.1453
5.744,2.7938,0.8174,-2.7426,-0.8241,6.9469,1.1538
5.766,2.8013,0.8222,-2.7511,-0.8294,6.9615,1.1629
5.788,2.8088,0.8269,-2.7551,-0.8338,6.9615,1.1629
5.808,2.8163,0.8316,-2.7636,-0.8391,6.9712,1.1709
5.830,2.8238,0.8364,-2.7721,-0.8445,6.9712,1.1709
5.852,2.8387,0.8459,-2.7850,-0.8527,6.9849,1.1795
5.872,2.8462,0.8506,-2.7918,-0.8574,6.9998,1.1888
5.894,2.8536,0.8554,-2.8003,-0.8629,6.9998,1.1888
5.916,2.8611,0.8601,-2.8089,-0.8683,7.0124,1.1973
5.938,2.8685,0.8649,-2.8175,-0.8737,7.0261,1.2060
5.958,2.8834,0.8744,-2.8260,-0.8792,7.0261,1.2060
5.980,2.8908,0.8792,-2.8324,-0.8858,7.0408,1.2153
6.002,2.8982,0.8840,-2.8452,-0.8940,7.0530,1.2257
6.022,2.9056,0.8888,-2.8537,-0.8996,7.0530,1.2257
6.044,2.9130,0.8937,-2.8621,-0.9051,7.0666,1.2345
6.066,2.9278,0.9033,-2.8706,-0.9107,7.0811,1.2439
6.086,2.9351,0.9082,-2.8786,-0.9173,7.0811,1.2439
6.108,2.9425,0.9131,-2.8870,-0.9230,7.0950,1.2546
6.130,2.9499,0.9180,-2.8954,-0.9286,7.0950,1.2546
6.150,2.9572,0.9229,-2.9038,-0.9343,7.1085,1.2636
6.172,2.9645,0.9278,-2.9167,-0.9430,7.1228,1.2732
6.194,2.9792,0.9377,-2.9251,-0.9487,7.1228,1.2732
6.214,2.9865,0.9426,-2.9335,-0.9544,7.1373,1.2830
6.236,2.9938,0.9476,-2.9419,-0.9601,7.1508,1.2922
6.258,3.0011,0.9526,-2.9503,-0.9659,7.1508,1.2922
6.278,3.0084,0.9575,-2.9577,-0.9699,7.1650,1.3019
6.300,3.0229,0.9675,-2.9661,-0.9756,7.1783,1.3098
6.322,3.0301,0.9726,-2.9786,-0.9842,7.1783,1.3098
6.342,3.0374,0.9776,-2.9870,-0.9900,7.1917,1.3190
6.364,3.0446,0.9826,-2.9953,-0.9957,7.1917,1.3190
6.386,3.0518,0.9877,-3.0032,-1.0011,7.2059,1.3288
6.406,3.0590,0.9927,-3.0115,-1.0069,7.2196,1.3382
6.428,3.0735,1.0029,-3.0198,-1.0128,7.2196,1.3382
6.450,3.0807,1.0080,-3.0282,-1.0186,7.2330,1.3475
6.470,3.0879,1.0131,-3.0366,-1.0245,7.2472,1.3575
6.492,3.0951,1.0183,-3.0482,-1.0331,7.2472,1.3575
6.514,3.1023,1.0234,-3.0565,-1.0390,7.2605,1.3672
6.534,3.1167,1.0338,-3.0649,-1.0449,7.2739,1.3767
6.556,3.1239,1.0390,-3.0732,-1.0509,7.2739,1.3767
6.578,3.1311,1.0442,-3.0800,-1.0563,7.2881,1.3868
6.598,3.1383,1.0494,-3.0883,-1.0623,7.2881,1.3868
6.620,3.1455,1.0546,-3.0965,-1.0683,7.3006,1.3964
6.642,3.1598,1.0651,-3.1089,-1.0774,7.3139,1.4060
6.662,3.1669,1.0704,-3.1172,-1.0834,7.3139,1.4060
6.684,3.1740,1.0757,-3.1232,-1.0894,7.3280,1.4163
6.706,3.1811,1.0810,-3.1313,-1.0955,7.3396,1.4265
6.726,3.1882,1.0863,-3.1395,-1.1016,7.3396,1.4265
6.748,3.1953,1.0917,-3.1476,-1.1077,7.3527,1.4362
6.770,3.2094,1.1024,-3.1557,-1.1139,7.3665,1.4467
6.790,3.2164,1.1078,-3.1620,-1.1190,7.3665,1.4467
6.812,3.2234,1.1132,-3.1740,-1.1283,7.3784,1.4561
6.834,3.2304,1.1186,-3.1820,-1.1345,7.3912,1.4660
6.854,3.2374,1.1240,-3.1899,-1.1407,7.3912,1.4660
6.876,3.2514,1.1349,-3.1953,-1.1448,7.4048,1.4766
6.898,3.2583,1.1404,-3.2031,-1.1510,7.4048,1.4766
6.918,3.2653,1.1459,-3.2109,-1.1573,7.4155,1.4849
6.940,3.2722,1.1515,-3.2187,-1.1636,7.4280,1.4949
6.962,3.2791,1.1571,-3.2304,-1.1732,7.4280,1.4949
6.982,3.2860,1.1628,-3.2359,-1.1762,7.4414,1.5059
7.004,3.2998,1.1743,-3.2436,-1.1826,7.4522,1.5132
7.026,3.3066,1.1800,-3.2512,-1.1891,7.4522,1.5132
7.046,3.3134,1.1859,-3.2588,-1.1956,7.4644,1.5235
7.068,3.3201,1.1917,-3.2663,-1.2021,7.4773,1.5348
7.090,3.3269,1.1976,-3.2743,-1.2079,7.4773,1.5348
7.110,3.3402,1.2093,-3.2817,-1.2144,7.4905,1.5450
7.132,3.3469,1.2153,-3.2929,-1.2244,7.5025,1.5555
7.154,3.3535,1.2213,-3.3003,-1.2310,7.5025,1.5555
7.174,3.3601,1.2273,-3.3044,-1.2357,7.5151,1.5669
7.196,3.3667,1.2334,-3.3116,-1.2424,7.5151,1.5669
7.218,3.3798,1.2456,-3.3189,-1.2491,7.5241,1.5761
7.238,3.3864,1.2517,-3.3262,-1.2559,7.5358,1.5869
7.260,3.3929,1.2579,-3.3334,-1.2627,7.5358,1.5869
7.282,3.3994,1.2641,-3.3432,-1.2704,7.5482,1.5986
7.302,3.4059,1.2703,-3.3503,-1.2772,7.5593,1.6075
7.324,3.4124,1.2766,-3.3575,-1.2841,7.5593,1.6075
7.346,3.4254,1.2892,-3.3647,-1.2909,7.5708,1.6184
7.366,3.4319,1.2955,-3.3718,-1.2978,7.5831,1.6301
7.388,3.4383,1.3018,-3.3807,-1.3040,7.5831,1.6301
7.410,3.4448,1.3081,-3.3879,-1.3109,7.5971,1.6411
7.430,3.4512,1.3145,-3.3950,-1.3178,7.5971,1.6411
