t,gt_x,gt_y,kiss_x,kiss_y,ov_x,ov_y,ego_x,ego_y
3.591,1.8745,0.1319,0.2755,0.2907,0.1329,-1.8176,0.2487,0.3300
3.612,1.8829,0.1341,0.2755,0.2907,0.1351,-1.8259,0.2487,0.3300
3.633,1.8914,0.1363,0.2755,0.2907,0.1387,-1.8399,0.2523,0.3324
3.654,1.8999,0.1385,0.3211,0.3026,0.1401,-1.8454,0.2523,0.3324
3.675,1.9083,0.1408,0.3211,0.3026,0.1427,-1.8594,0.2559,0.3347
3.696,1.9253,0.1452,0.3211,0.3026,0.1449,-1.8677,0.2595,0.3370
3.717,1.9337,0.1475,0.3211,0.3026,0.1474,-1.8775,0.2595,0.3370
3.738,1.9422,0.1497,0.3211,0.3026,0.1500,-1.8872,0.2631,0.3393
3.759,1.9506,0.1520,0.3211,0.3026,0.1517,-1.8967,0.2671,0.3418
3.780,1.9591,0.1543,0.3211,0.3026,0.1543,-1.9065,0.2671,0.3418
3.801,1.9675,0.1566,0.3211,0.3026,0.1568,-1.9162,0.2707,0.3441
3.822,1.9844,0.1612,0.3211,0.3026,0.1590,-1.9246,0.2707,0.3441
3.843,1.9927,0.1634,0.3211,0.3026,0.1626,-1.9384,0.2743,0.3464
3.864,2.0011,0.1656,0.3591,0.3175,0.1656,-1.9495,0.2779,0.3487
3.885,2.0094,0.1678,0.3591,0.3175,0.1681,-1.9591,0.2779,0.3487
3.906,2.0176,0.1700,0.3591,0.3175,0.1702,-1.9673,0.3147,0.3591
3.927,2.0259,0.1722,0.3591,0.3175,0.1727,-1.9769,0.3188,0.3615
3.948,2.0424,0.1765,0.3591,0.3175,0.1752,-1.9864,0.3188,0.3615
3.969,2.0506,0.1787,0.3591,0.3175,0.1819,-1.9980,0.3229,0.3639
3.990,2.0588,0.1809,0.3591,0.3175,0.1845,-2.0076,0.3270,0.3663
4.011,2.0670,0.1831,0.3591,0.3175,0.1871,-2.0171,0.3270,0.3663
4.032,2.0751,0.1853,0.3591,0.3175,0.1894,-2.0253,0.3311,0.3688
4.053,2.0833,0.1875,0.3871,0.3346,0.1922,-2.0385,0.3311,0.3688
4.074,2.0996,0.1920,0.3871,0.3346,0.1948,-2.0480,0.3355,0.3714
4.095,2.1077,0.1942,0.3871,0.3346,0.1975,-2.0575,0.3396,0.3738
4.116,2.1159,0.1965,0.3871,0.3346,0.1999,-2.0657,0.3396,0.3738
4.137,2.1241,0.1989,0.3871,0.3346,0.2026,-2.0752,0.3437,0.3762
