t,gt_x,gt_y,ov_x,ov_y,ego_x,ego_y
5.220,2.6008,0.7181,-2.5299,-0.7287,4.6509,0.7231
5.242,2.6065,0.7218,-2.5381,-0.7340,4.6649,0.7324
5.262,2.6197,0.7303,-2.5462,-0.7394,4.6649,0.7324
5.284,2.6263,0.7346,-2.5544,-0.7447,4.6780,0.7410
5.306,2.6337,0.7395,-2.5626,-0.7501,4.6918,0.7502
5.326,2.6403,0.7438,-2.5749,-0.7553,4.6918,0.7502
5.348,2.6534,0.7524,-2.5831,-0.7607,4.7099,0.7592
5.370,2.6607,0.7573,-2.5954,-0.7689,4.7230,0.7680
5.390,2.6681,0.7622,-2.6036,-0.7744,4.7230,0.7680
5.412,2.6811,0.7709,-2.6134,-0.7825,4.7368,0.7773
5.434,2.6868,0.7747,-2.6218,-0.7878,4.7368,0.7773
5.454,2.6926,0.7785,-2.6302,-0.7931,4.7525,0.7892
5.476,2.7057,0.7872,-2.6387,-0.7984,4.7660,0.7977
5.498,2.7123,0.7916,-2.6471,-0.8037,4.7660,0.7977
5.518,2.7189,0.7959,-2.6555,-0.8102,4.7804,0.8066
5.540,2.7320,0.8045,-2.6682,-0.8181,4.7946,0.8170
5.562,2.7386,0.8088,-2.6767,-0.8234,4.7946,0.8170
5.582,2.7461,0.8137,-2.6852,-0.8287,4.8082,0.8255
5.604,2.7601,0.8228,-2.6937,-0.8341,4.8226,0.8345
5.626,2.7667,0.8271,-2.6949,-0.8431,4.8226,0.8345
5.646,2.7741,0.8320,-2.7032,-0.8485,4.8295,0.8474
5.668,2.7816,0.8368,-2.7157,-0.8567,4.8427,0.8562
5.690,2.7948,0.8455,-2.7240,-0.8622,4.8427,0.8562
5.710,2.8014,0.8498,-2.7346,-0.8700,4.8570,0.8654
5.732,2.8088,0.8547,-2.7430,-0.8756,4.8570,0.8654
5.754,2.8162,0.8596,-2.7513,-0.8812,4.8735,0.8773
5.774,2.8302,0.8688,-2.7596,-0.8868,4.8868,0.8863
5.796,2.8375,0.8737,-2.7679,-0.8924,4.8868,0.8863
5.818,2.8449,0.8786,-2.7848,-0.9029,4.9009,0.8958
5.838,2.8515,0.8830,-2.7890,-0.9057,4.9195,0.9076
5.860,2.8588,0.8879,-2.8016,-0.9142,4.9195,0.9076
5.882,2.8735,0.8977,-2.8099,-0.9200,4.9329,0.9167
5.902,2.8808,0.9027,-2.8183,-0.9257,4.9469,0.9264
5.924,2.8881,0.9076,-2.8246,-0.9311,4.9469,0.9264
5.946,2.8946,0.9120,-2.8329,-0.9369,4.9591,0.9359
5.966,2.9084,0.9214,-2.8411,-0.9427,4.9591,0.9359
5.988,2.9157,0.9264,-2.8494,-0.9485,4.9722,0.9452
6.010,2.9222,0.9308,-2.8611,-0.9557,4.9862,0.9552
6.030,2.9344,0.9391,-2.8694,-0.9616,4.9862,0.9552
6.052,2.9417,0.9442,-2.8777,-0.9674,4.9996,0.9636
6.074,2.9491,0.9492,-2.8860,-0.9733,5.0129,0.9730
6.096,2.9556,0.9537,-2.8943,-0.9792,5.0129,0.9730
6.116,2.9695,0.9633,-2.9026,-0.9853,5.0270,0.9832
6.138,2.9769,0.9684,-2.9109,-0.9913,5.0411,0.9935
6.160,2.9834,0.9730,-2.9234,-1.0004,5.0411,0.9935
6.180,2.9908,0.9782,-2.9318,-1.0065,5.0544,1.0033
6.202,2.9982,0.9833,-2.9400,-1.0126,5.0685,1.0137
6.224,3.0128,0.9937,-2.9473,-1.0180,5.0685,1.0137
